#Frequency	Mic 1	Mic 2
838.000	1.506	0.432
839.000	1.468	0.423
840.000	1.426	0.409
841.000	1.377	0.402
842.000	1.339	0.390
843.000	1.302	0.382
844.000	1.293	0.375
845.000	1.260	0.367
846.000	1.271	0.356
847.000	1.285	0.352
848.000	1.301	0.345
849.000	1.324	0.341
850.000	1.361	0.335
851.000	1.419	0.323
852.000	1.480	0.320
853.000	1.559	0.314
854.000	1.642	0.304
855.000	1.715	0.298
856.000	1.833	0.298
857.000	1.903	0.285
858.000	1.985	0.275
859.000	2.079	0.266
860.000	2.158	0.252
861.000	2.228	0.245
862.000	2.277	0.229
863.000	2.341	0.228
864.000	2.373	0.209
865.000	2.403	0.197
866.000	2.428	0.191
867.000	2.434	0.176
868.000	2.429	0.168
869.000	2.431	0.158
870.000	2.415	0.147
871.000	2.398	0.142
872.000	2.371	0.131
873.000	2.345	0.125
874.000	2.326	0.116
875.000	2.305	0.112
876.000	2.271	0.107
877.000	2.264	0.107
878.000	2.243	0.103
879.000	2.203	0.090
880.000	2.181	0.094
881.000	2.154	0.082
882.000	2.129	0.081
883.000	2.106	0.079
884.000	2.077	0.075
885.000	2.066	0.068
886.000	2.053	0.066
887.000	2.021	0.064
888.000	2.000	0.062
889.000	1.976	0.066
890.000	1.944	0.065
891.000	1.941	0.061
892.000	1.917	0.065
893.000	1.894	0.057
894.000	1.881	0.053
895.000	1.868	0.054
896.000	1.863	0.057
897.000	1.826	0.052
898.000	1.825	0.048
899.000	1.814	0.050
900.000	1.794	0.048
901.000	1.775	0.045
902.000	1.768	0.047
903.000	1.747	0.049
904.000	1.732	0.050
905.000	1.724	0.044
906.000	1.701	0.042
907.000	1.702	0.043
908.000	1.673	0.043
909.000	1.670	0.040
910.000	1.663	0.041
911.000	1.644	0.043
912.000	1.637	0.036
913.000	1.622	0.043
914.000	1.613	0.038
915.000	1.606	0.038
916.000	1.600	0.042
917.000	1.608	0.044
918.000	1.580	0.033
919.000	1.566	0.039
920.000	1.554	0.039
921.000	1.539	0.039
922.000	1.536	0.036
